"ATC","count"
"A01AB04",13
"A01AD05",1
"A02AH01",6
"A02BA02",4
"A02BA03",4
"A02BC01",14
"A02BC02",148
"A02BC05",21
"A03AX13",5
"A03BB01",21
"A03FA01",15
"A04AA01",9
"A04AA02",19
"A04AB02",19
"A06AB08",7
"A06AD11",25
"A06AD65",21
"A07AA07",10
"A10AB01",1
"A10AE01",2
"A10BA02",25
"A10BB01",4
"A10BD13",1
"A10BD17",1
"A10BH03",7
"A11CC04",6
"A11CC05",31
"A12AA04",5
"A12AX01",22
"A12BA01",35
"A12BA30",33
"A12CC04",6
"A12CC10",20
"AC03AA03",2
"B01AA03",4
"B01AA04",4
"B01AB01",18
"B01AB04",29
"B01AB05",151
"B01AB13",12
"B01AC04",14
"B01AC06",77
"B01AE07",5
"B01AF01",11
"B01AF02",7
"B03AA01",13
"B03BB01",12
"B03XA02",6
"B05BA10",2
"B05BB01",10
"B05BB12",19
"C01AA02",15
"C01AA05",7
"C01BD01",4
"C01BD07",5
"C01DA08",10
"C01DX12",6
"C02AC05",21
"C02KX04",9
"C02KX05",18
"C03AA03",23
"C03BA10",17
"C03CA01",36
"C03CA04",80
"C03DA01",38
"C03DA04",2
"C03EA21",3
"C03EA22",3
"C04AD03",4
"C07AA07",3
"C07AB02",86
"C07AB07",29
"C07AG02",6
"C08CA01",94
"C08CA05",11
"C08CA13",7
"C08DA01",8
"C09AA02",41
"C09AA03",7
"C09AA05",63
"C09BA07",16
"C09CA06",25
"C09DX04",2
"C10AA01",35
"C10AA05",41
"C10BX12",1
"D01AE14",9
"D07AC18",4
"G04CA02",14
"H02AB02",8
"H02AB06",31
"H02AB07",12
"H03AA01",67
"H03BB01",6
"J01CR01",13
"J01CR04",2
"J01CR05",24
"J01DD01",8
"J01DD02",8
"J01DH02",24
"J01DH51",4
"J01EE01",66
"J01MA02",66
"J01XA01",5
"J02AC04",7
"J05AB01",32
"J05AB14",6
"L01AA01",4
"L01XC03",1
"L02BG03",1
"L03AA02",32
"L04AA06",6
"L04AA10",6
"L04AD01",21
"L04AX01",16
"L04AX02",7
"M01AA01",1
"M01AB05",3
"M01AC01",3
"M01AE01",23
"M01AH05",2
"M01CX01",5
"M02AB01",3
"M04AA01",24
"M04AB01",3
"M05BA01",1
"M05BA02",2
"M05BA04",1
"M05BA07",2
"M05BB03",2
"N02AA01",3
"N02AA05",41
"N02AB03",12
"N02BA01",4
"N02BB02",53
"N02BE01",47
"N03AB02",7
"N03AE01",8
"N03AX12",7
"N03AX14",17
"N03AX16",18
"N04BA11",56
"N04BC09",12
"N05AD01",2
"N05AD03",15
"N05AH02",1
"N05AH04",16
"N05AN01",3
"N05AX08",8
"N05BA04",3
"N05BA05",11
"N05CF01",44
"N05CF02",36
"N05CM21",1
"N06AA09",13
"N06AA25",2
"N06AX11",19
"N06AX18",4
"N06CA01",2
"N06DA03",12
"N07BA01",15
"N07XB01",4
"P01AB01",10
"R01BA58",1
"R03AC02",4
"R03AC13",4
"R03AK07",20
"R03AL01",13
"R03AL02",2
"R03BA05",4
"R03BB04",16
"R03CC03",2
"R03DX07",12
"R05CB01",12
"R05DA04",2
"R06AE09",1
"V03AE02",6
"V03AF01",4
"null",740
